"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2025 05:45:00 - 03/01/2025 06:00:00","BZN|FR","Without Sequence","92.25","",""
"03/01/2025 06:00:00 - 03/01/2025 06:15:00","BZN|FR","Without Sequence","100.14","",""
"03/01/2025 06:15:00 - 03/01/2025 06:30:00","BZN|FR","Without Sequence","100.14","",""
"03/01/2025 06:30:00 - 03/01/2025 06:45:00","BZN|FR","Without Sequence","100.14","",""
"03/01/2025 06:45:00 - 03/01/2025 07:00:00","BZN|FR","Without Sequence","100.14","",""
"03/01/2025 07:00:00 - 03/01/2025 07:15:00","BZN|FR","Without Sequence","119.27","",""
"03/01/2025 07:15:00 - 03/01/2025 07:30:00","BZN|FR","Without Sequence","119.27","",""
"03/01/2025 07:30:00 - 03/01/2025 07:45:00","BZN|FR","Without Sequence","119.27","",""
"03/01/2025 07:45:00 - 03/01/2025 08:00:00","BZN|FR","Without Sequence","119.27","",""
"03/01/2025 08:00:00 - 03/01/2025 08:15:00","BZN|FR","Without Sequence","127.28","",""
"03/01/2025 08:15:00 - 03/01/2025 08:30:00","BZN|FR","Without Sequence","127.28","",""
"03/01/2025 08:30:00 - 03/01/2025 08:45:00","BZN|FR","Without Sequence","127.28","",""
"03/01/2025 08:45:00 - 03/01/2025 09:00:00","BZN|FR","Without Sequence","127.28","",""
"03/01/2025 09:00:00 - 03/01/2025 09:15:00","BZN|FR","Without Sequence","132.97","",""
"03/01/2025 09:15:00 - 03/01/2025 09:30:00","BZN|FR","Without Sequence","132.97","",""
"03/01/2025 09:30:00 - 03/01/2025 09:45:00","BZN|FR","Without Sequence","132.97","",""
"03/01/2025 09:45:00 - 03/01/2025 10:00:00","BZN|FR","Without Sequence","132.97","",""
"03/01/2025 10:00:00 - 03/01/2025 10:15:00","BZN|FR","Without Sequence","130.52","",""
"03/01/2025 10:15:00 - 03/01/2025 10:30:00","BZN|FR","Without Sequence","130.52","",""
"03/01/2025 10:30:00 - 03/01/2025 10:45:00","BZN|FR","Without Sequence","130.52","",""
"03/01/2025 10:45:00 - 03/01/2025 11:00:00","BZN|FR","Without Sequence","130.52","",""
"03/01/2025 11:00:00 - 03/01/2025 11:15:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 11:15:00 - 03/01/2025 11:30:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 11:30:00 - 03/01/2025 11:45:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 11:45:00 - 03/01/2025 12:00:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 12:00:00 - 03/01/2025 12:15:00","BZN|FR","Without Sequence","113.51","",""
"03/01/2025 12:15:00 - 03/01/2025 12:30:00","BZN|FR","Without Sequence","113.51","",""
"03/01/2025 12:30:00 - 03/01/2025 12:45:00","BZN|FR","Without Sequence","113.51","",""
"03/01/2025 12:45:00 - 03/01/2025 13:00:00","BZN|FR","Without Sequence","113.51","",""
"03/01/2025 13:00:00 - 03/01/2025 13:15:00","BZN|FR","Without Sequence","107.60","",""
"03/01/2025 13:15:00 - 03/01/2025 13:30:00","BZN|FR","Without Sequence","107.60","",""
"03/01/2025 13:30:00 - 03/01/2025 13:45:00","BZN|FR","Without Sequence","107.60","",""
"03/01/2025 13:45:00 - 03/01/2025 14:00:00","BZN|FR","Without Sequence","107.60","",""
"03/01/2025 14:00:00 - 03/01/2025 14:15:00","BZN|FR","Without Sequence","105.88","",""
"03/01/2025 14:15:00 - 03/01/2025 14:30:00","BZN|FR","Without Sequence","105.88","",""
"03/01/2025 14:30:00 - 03/01/2025 14:45:00","BZN|FR","Without Sequence","105.88","",""
"03/01/2025 14:45:00 - 03/01/2025 15:00:00","BZN|FR","Without Sequence","105.88","",""
"03/01/2025 15:00:00 - 03/01/2025 15:15:00","BZN|FR","Without Sequence","110.22","",""
"03/01/2025 15:15:00 - 03/01/2025 15:30:00","BZN|FR","Without Sequence","110.22","",""
"03/01/2025 15:30:00 - 03/01/2025 15:45:00","BZN|FR","Without Sequence","110.22","",""
"03/01/2025 15:45:00 - 03/01/2025 16:00:00","BZN|FR","Without Sequence","110.22","",""
"03/01/2025 16:00:00 - 03/01/2025 16:15:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 16:15:00 - 03/01/2025 16:30:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 16:30:00 - 03/01/2025 16:45:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 16:45:00 - 03/01/2025 17:00:00","BZN|FR","Without Sequence","123.20","",""
"03/01/2025 17:00:00 - 03/01/2025 17:15:00","BZN|FR","Without Sequence","141.20","",""
"03/01/2025 17:15:00 - 03/01/2025 17:30:00","BZN|FR","Without Sequence","141.20","",""
"03/01/2025 17:30:00 - 03/01/2025 17:45:00","BZN|FR","Without Sequence","141.20","",""
"03/01/2025 17:45:00 - 03/01/2025 18:00:00","BZN|FR","Without Sequence","141.20","",""
"03/01/2025 18:00:00 - 03/01/2025 18:15:00","BZN|FR","Without Sequence","144.48","",""
"03/01/2025 18:15:00 - 03/01/2025 18:30:00","BZN|FR","Without Sequence","144.48","",""
"03/01/2025 18:30:00 - 03/01/2025 18:45:00","BZN|FR","Without Sequence","144.48","",""
"03/01/2025 18:45:00 - 03/01/2025 19:00:00","BZN|FR","Without Sequence","144.48","",""
"03/01/2025 19:00:00 - 03/01/2025 19:15:00","BZN|FR","Without Sequence","141.43","",""
"03/01/2025 19:15:00 - 03/01/2025 19:30:00","BZN|FR","Without Sequence","141.43","",""
"03/01/2025 19:30:00 - 03/01/2025 19:45:00","BZN|FR","Without Sequence","141.43","",""
